tid,toi,toidisplay,toipfx,ctoi_alias,pl_pnum,tfopwg_disp,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,rastr,ra,raerr1,raerr2,rasymerr,decstr,dec,decerr1,decerr2,decsymerr,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbpersymerr,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insolsymerr,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtsymerr,pl_eqtlim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim,sectors,toi_created,rowupdate,release_date
91869778,"2736.01","TOI-2736.01","2736","91869778.01",1,"FP",10.9521000,0.006,-0.006,1,0,"05h55m22s",88.8416550,,,,"+15d22m42.42s",15.3784500,,,,3.5290000,0.115,-0.115,1,0,-14.5460000,0.099,-0.099,1,0,2460235.2949590,0.002735,-0.002735,1,0,3.4771921,0.0000096,-0.0000096,1,0,2.0020000,0.1590000,-0.1590000,1,0,3250.0000000,2.6979000,-2.6979000,1,0,11.1486000,0.7246500,-0.7246500,1,0,422.8000000,,,,,1263.0000000,,,,,493.2100000,18.3525000,-18.3525000,1,0,6539.0000000,176.3000000,-176.3000000,1,0,3.9900000,0.0900000,-0.0900000,1,0,1.9400000,0.1100000,-0.1100000,1,0,,"2021-06-03 22:07:20","2024-12-27 12:03:09","2025-09-28 22:48:44"
281979481,"274.01","TOI-274.01","274","281979481.01",1,"FP",10.4929000,0.006,-0.006,1,0,"08h42m01.29s",130.5053790,,,,"-75d48m06.73s",-75.8018690,,,,38.7070000,0.038,-0.038,1,0,-81.3630000,0.040,-0.040,1,0,2459362.1572410,0.002035,-0.002035,1,0,0.5417947,0.0000051,-0.0000051,1,0,1.1716379,0.0724826,-0.0724826,1,0,537.9244902,58.9280130,-58.9280130,1,0,2.8738733,1.4076043,-1.4076043,1,0,2690.4153124,,,,,1836.8537579,,,,,113.3780000,0.2610000,-0.2610000,1,0,5181.0000000,182.0000000,-182.0000000,1,0,4.5463100,0.2895740,-0.2895740,1,0,0.8072980,0.0471181,-0.0471181,1,0,,"2018-11-30 22:06:25","2021-10-29 12:59:15","2025-09-28 22:48:44"
280212554,"2743.01","TOI-2743.01","2743","280212554.01",1,"FP",13.3574000,0.037,-0.037,1,0,"06h43m29.71s",100.8737850,,,,"-01d52m16.6s",-1.8712780,,,,0.7070000,0.045,-0.045,1,0,-1.9060000,0.040,-0.040,1,0,2459212.0452650,0.006508,-0.006508,1,0,1.1472535,0.0000118,-0.0000118,1,0,1.7890000,0.3380000,-0.3380000,1,0,4090.0000000,12.6547000,-12.6547000,1,0,17.2280000,,,1,0,16302.6000000,,,,,3147.0000000,,,,,2363.7800000,156.5300000,-156.5300000,1,0,9742.0000000,126.0000000,-126.0000000,1,0,4.0100000,,,1,0,2.5900000,,,1,0,,"2021-06-03 22:07:21","2024-08-22 10:08:01","2025-09-28 22:48:44"
279989567,"2744.01","TOI-2744.01","2744","279989567.01",1,"FP",11.4746000,0.006,-0.006,1,0,"06h42m15.54s",100.5647510,,,,"-04d56m59.6s",-4.9498890,,,,,,,,,,,,,,2459226.1885200,0.003100,-0.003100,1,0,0.7871770,0.0000036,-0.0000036,1,0,1.5150000,0.2150000,-0.2150000,1,0,1350.0000000,2.5217200,-2.5217200,1,0,,,,1,0,1632.5200000,,,,,1770.0000000,,,,,,,,1,0,4899.5000000,116.1000000,-116.1000000,1,0,,,,1,0,,,,1,0,,"2021-06-03 22:07:21","2024-08-22 10:08:01","2025-09-28 22:48:44"
148233571,"2754.01","TOI-2754.01","2754","148233571.01",1,"FP",12.2082000,0.006,-0.006,1,0,"06h45m23.18s",101.3465870,,,,"-41d14m57.18s",-41.2492160,,,,8.6820000,0.050,-0.050,1,0,-7.7110000,0.046,-0.046,1,0,2459226.3760600,0.003257,-0.003257,1,0,0.9422588,0.0000060,-0.0000060,1,0,1.4600000,0.2710000,-0.2710000,1,0,1060.0000000,3.5557300,-3.5557300,1,0,3.7501500,0.3132930,-0.3132930,1,0,1840.1900000,,,,,1824.0000000,,,,,361.8110000,3.6835000,-3.6835000,1,0,5544.7000000,132.7000000,-132.7000000,1,0,4.3700000,0.0900000,-0.0900000,1,0,1.0700000,0.0600000,-0.0600000,1,0,,"2021-06-03 22:07:23","2024-08-22 10:08:01","2025-09-28 22:48:44"
134315574,"2759.01","TOI-2759.01","2759","134315574.01",1,"FP",13.2050000,0.006,-0.006,1,0,"07h09m25.46s",107.3560810,,,,"-44d41m00.54s",-44.6834820,,,,-6.2390000,0.026,-0.026,1,0,-0.6360000,0.029,-0.029,1,0,2459963.6129500,0.006833,-0.006833,1,0,1.5971584,0.0000092,-0.0000092,1,0,3.4290000,0.3980000,-0.3980000,1,0,5070.0000000,297.0360000,-297.0360000,1,0,17.7465000,,,1,0,15134.3000000,,,,,3090.0000000,,,,,1269.0300000,23.3450000,-23.3450000,1,0,6033.0000000,122.0000000,-122.0000000,1,0,3.8600000,,,1,0,2.0600000,,,1,0,,"2021-06-03 22:07:23","2024-08-22 10:08:01","2025-09-28 22:48:44"
382188882,"276.01","TOI-276.01","276","382188882.01",1,"FP",10.6559000,0.006,-0.006,1,0,"05h25m24.74s",81.3530840,,,,"-55d01m11.73s",-55.0199250,,,,13.4990000,0.041,-0.041,1,0,-5.4940000,0.042,-0.042,1,0,2459328.5797950,0.000357,-0.000357,1,0,4.8000953,0.0000013,-0.0000013,1,0,1.9968681,0.0202047,-0.0202047,1,0,5241.0677476,48.7275960,-48.7275960,1,0,17.0718101,2.2168117,-2.2168117,1,0,1043.3440510,,,,,1449.5280892,,,,,352.3830000,2.3610000,-2.3610000,1,0,6366.0000000,197.0000000,-197.0000000,1,0,4.1621700,0.4753600,-0.4753600,1,0,1.5808300,0.0739598,-0.0739598,1,0,,"2018-11-30 22:06:26","2023-11-01 10:08:02","2025-09-28 22:48:44"
130611752,"2760.01","TOI-2760.01","2760","130611752.01",1,"FP",12.8004000,0.006,-0.006,1,0,"07h03m00.51s",105.7521170,,,,"-43d29m35.04s",-43.4930680,,,,0.0820000,0.024,-0.024,1,0,3.1520000,0.026,-0.026,1,0,2459963.1853800,0.002477,-0.002477,1,0,0.4405893,0.0000016,-0.0000016,1,0,1.0750000,0.1590000,-0.1590000,1,0,1850.0000000,4.1889000,-4.1889000,1,0,6.7494900,0.4905170,-0.4905170,1,0,4788.5700000,,,,,2317.0000000,,,,,684.3860000,6.1390000,-6.1390000,1,0,5643.0000000,135.5000000,-135.5000000,1,0,4.1000000,0.0800000,-0.0800000,1,0,1.4800000,0.0800000,-0.0800000,1,0,,"2021-06-03 22:07:24","2024-08-22 10:08:01","2025-09-28 22:48:44"
437893926,"2771.01","TOI-2771.01","2771","437893926.01",1,"FP",12.4432000,0.022,-0.022,1,0,"06h16m04.32s",94.0179950,,,,"+15d16m14.4s",15.2706660,,,,0.1590000,0.067,-0.067,1,0,-4.6470000,0.060,-0.060,1,0,2459548.1853460,0.001837,-0.001837,1,0,3.8454384,0.0000154,-0.0000154,1,0,4.7360000,0.1830000,-0.1830000,1,0,4590.0000000,1.4437500,-1.4437500,1,0,13.6848000,1.0387000,-1.0387000,1,0,2030.9000000,,,,,1870.0000000,,,,,985.0740000,35.6510000,-35.6510000,1,0,6733.4000000,128.0000000,-128.0000000,1,0,3.9800000,0.1000000,-0.1000000,1,0,2.0200000,0.1500000,-0.1500000,1,0,,"2021-06-03 22:07:25","2024-08-22 10:08:01","2025-09-28 22:48:44"
36574157,"2775.01","TOI-2775.01","2775","36574157.01",1,"FP",12.9127000,0.006,-0.006,1,0,"06h49m39.04s",102.4126860,,,,"-00d29m45.52s",-0.4959790,,,,-3.0870000,0.046,-0.046,1,0,5.0050000,0.041,-0.041,1,0,2459210.6301350,0.002742,-0.002742,1,0,3.7804749,0.0000199,-0.0000199,1,0,3.6150000,0.2700000,-0.2700000,1,0,22150.0000000,3092.5800000,-3092.5800000,1,0,17.9247000,5.0617800,-5.0617800,1,0,835.0880000,,,,,1497.0000000,,,,,334.9700000,3.4945000,-3.4945000,1,0,5112.0000000,128.7000000,-128.7000000,1,0,4.5600000,0.0900000,-0.0900000,1,0,0.8100000,0.0500000,-0.0500000,1,0,,"2021-06-03 22:07:25","2024-08-22 10:08:01","2025-09-28 22:48:44"
