mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K02696.01,CANDIDATE,96.4562198,9.1,7029.0,2.704,1.704,Kepler
Kepler,K02696.02,CANDIDATE,44.5643831,5.8,7029.0,2.704,1.704,Kepler
Kepler,K02700.01,CANDIDATE,0.910020582,1.12,4297.0,0.533,0.55,Kepler
Kepler,K02706.01,CANDIDATE,3.09756897,1.75,6329.0,1.885,1.374,Kepler
Kepler,K02712.01,CANDIDATE,7.50790041,1.77,6408.0,1.337,1.329,Kepler
Kepler,K02719.02,CANDIDATE,106.25976,1.5,4827.0,0.823,0.796,Kepler
Kepler,K02720.01,CANDIDATE,6.57159435,1.26,6042.0,1.432,1.029,Kepler
Kepler,K02722.05,CANDIDATE,16.5340022,1.17,6052.0,1.202,1.015,Kepler
Kepler,K02732.04,CANDIDATE,24.5607107,1.13,6170.0,1.499,1.282,Kepler
Kepler,K02739.02,CANDIDATE,7.0956395,1.2,5480.0,1.174,0.915,Kepler
Kepler,K02744.02,CANDIDATE,11.615625,2.84,5332.0,1.453,0.932,Kepler
Kepler,K02750.01,CANDIDATE,174.636181,11.12,5974.0,2.232,1.313,Kepler
Kepler,K02756.02,CANDIDATE,5.06993245,0.92,5957.0,0.937,1.026,Kepler
Kepler,K02758.01,CANDIDATE,253.374581,19.25,5177.0,5.949,2.122,Kepler
Kepler,K02759.01,CANDIDATE,1.07808492,1.01,4906.0,0.814,0.783,Kepler
Kepler,K02764.01,CANDIDATE,2.252976718,1.19,4039.0,0.559,0.583,Kepler
Kepler,K02770.01,CANDIDATE,205.385912,2.11,4400.0,0.624,0.646,Kepler
Kepler,K02775.01,CANDIDATE,17.57704569,27.21,5653.0,0.901,0.819,Kepler
Kepler,K02796.01,CANDIDATE,0.5374094,0.96,5749.0,0.988,1.02,Kepler
Kepler,K02797.01,CANDIDATE,0.868122253,1.65,6116.0,1.084,1.181,Kepler
Kepler,K02807.01,CANDIDATE,3.375716723,2.34,6310.0,1.282,1.122,Kepler
Kepler,K02813.01,CANDIDATE,0.698461304,14.81,4676.0,12.558,2.17,Kepler
Kepler,K02821.01,CANDIDATE,79.2450351,3.33,5648.0,0.917,0.892,Kepler
Kepler,K02828.02,CANDIDATE,505.462916,3.46,4817.0,0.833,0.8,Kepler
Kepler,K02833.01,CANDIDATE,1.791877025,1.48,6002.0,2.139,1.156,Kepler
Kepler,K02840.01,CANDIDATE,3.67936863,0.92,5676.0,0.848,0.781,Kepler
Kepler,K02840.02,CANDIDATE,7.4464635,0.77,5676.0,0.848,0.781,Kepler
Kepler,K02851.02,CANDIDATE,1.23935745,1.5,5370.0,0.966,0.877,Kepler
Kepler,K02853.01,CANDIDATE,1.407020118,1.12,5022.0,0.849,0.804,Kepler
Kepler,K02855.01,CANDIDATE,1.400755743,1.3,5487.0,1.072,0.902,Kepler
Kepler,K02859.03,CANDIDATE,4.28886792,0.57,5374.0,0.721,0.68,Kepler
Kepler,K02859.04,CANDIDATE,2.90512019,0.57,5374.0,0.721,0.68,Kepler
Kepler,K02859.05,CANDIDATE,5.43103616,0.66,5374.0,0.721,0.68,Kepler
Kepler,K02862.01,CANDIDATE,24.5752524,1.64,3678.0,0.512,0.545,Kepler
Kepler,K02869.02,CANDIDATE,274.743032,2.16,6277.0,1.207,1.073,Kepler
Kepler,K02871.03,CANDIDATE,18.0811429,0.75,5693.0,0.856,0.95,Kepler
Kepler,K02871.04,CANDIDATE,7.9788198,0.99,5553.0,1.098,0.941,Kepler
Kepler,K02874.01,CANDIDATE,0.352515897,1.0,5465.0,0.766,0.857,Kepler
Kepler,K02876.01,CANDIDATE,5.1952021,1.37,5044.0,0.738,0.708,Kepler
Kepler,K02879.01,CANDIDATE,0.339069751,2.09,5653.0,2.183,1.216,Kepler
Kepler,K02882.01,CANDIDATE,75.8580035,2.72,4474.0,0.614,0.645,Kepler
Kepler,K02899.01,CANDIDATE,5.77207177,1.54,5591.0,0.86,0.977,Kepler
Kepler,K02900.01,CANDIDATE,46.151253,2.08,5204.0,0.769,0.723,Kepler
Kepler,K02906.02,CANDIDATE,145.881936,1.8,6052.0,1.424,1.128,Kepler
Kepler,K02906.03,CANDIDATE,21.9424316,1.23,6052.0,1.424,1.128,Kepler
Kepler,K02914.01,CANDIDATE,21.1181653,2.89,6461.0,2.566,1.443,Kepler
Kepler,K02915.01,CANDIDATE,5.06092282,0.98,5637.0,0.911,0.939,Kepler
Kepler,K02921.01,CANDIDATE,16.6146221,1.49,5295.0,0.8,0.825,Kepler
Kepler,K02923.01,CANDIDATE,5.83892993,1.19,5279.0,0.769,0.839,Kepler
Kepler,K02924.02,CANDIDATE,8.85686712,1.88,5017.0,0.797,0.76,Kepler
Kepler,K02925.01,CANDIDATE,0.716531851,1.11,5552.0,1.03,0.863,Kepler
Kepler,K02926.05,CANDIDATE,75.731195,3.47,3891.0,0.564,0.605,Kepler
Kepler,K02927.01,CANDIDATE,24.4359956,2.31,6197.0,1.035,1.096,Kepler
Kepler,K02933.01,CANDIDATE,119.0833042,22.19,4412.0,0.623,0.65,Kepler
Kepler,K02935.01,CANDIDATE,27.8813154,1.54,6434.0,1.055,1.048,Kepler
Kepler,K02942.01,CANDIDATE,13.84301228,1.98,5745.0,0.837,0.928,Kepler
Kepler,K02949.01,CANDIDATE,10.1747037,1.04,5866.0,1.339,1.016,Kepler
Kepler,K02949.02,CANDIDATE,3.75030469,0.87,5866.0,1.339,1.016,Kepler
Kepler,K02957.01,CANDIDATE,4.64490141,0.76,4786.0,0.77,0.751,Kepler
Kepler,K02958.01,CANDIDATE,31.6084371,1.89,6341.0,1.033,1.083,Kepler
Kepler,K02959.01,CANDIDATE,16.1558656,2.04,4504.0,0.53,0.528,Kepler
Kepler,K02962.01,CANDIDATE,2.17291055,0.93,6164.0,1.045,1.109,Kepler
Kepler,K02963.02,CANDIDATE,7.35101287,1.42,5951.0,1.262,1.117,Kepler
Kepler,K02968.01,CANDIDATE,10.16435076,1.99,6133.0,2.71,1.401,Kepler
Kepler,K02971.01,CANDIDATE,6.09595681,1.26,6313.0,1.467,1.325,Kepler
Kepler,K02971.02,CANDIDATE,31.9533679,1.65,6313.0,1.467,1.325,Kepler
Kepler,K02972.01,CANDIDATE,13.2511214,1.98,5850.0,1.217,1.072,Kepler
Kepler,K02972.02,CANDIDATE,42.0292298,2.33,5850.0,1.217,1.072,Kepler
Kepler,K02976.01,CANDIDATE,21.61313362,1.94,5267.0,0.632,0.701,Kepler
Kepler,K02984.01,CANDIDATE,11.45541896,1.12,6231.0,1.356,1.269,Kepler
Kepler,K02992.01,CANDIDATE,82.6595174,2.03,3952.0,0.553,0.572,Kepler
Kepler,K03004.02,CANDIDATE,7.03965141,2.72,5902.0,1.513,1.12,Kepler
Kepler,K03007.01,CANDIDATE,11.1916199,1.47,5646.0,0.956,0.97,Kepler
Kepler,K03013.01,CANDIDATE,3.76562031,19.39,5743.0,0.853,0.949,Kepler
Kepler,K03017.01,CANDIDATE,2.46288834,0.67,5893.0,0.967,0.848,Kepler
Kepler,K03019.02,CANDIDATE,2.012094,0.99,5633.0,1.162,0.973,Kepler
Kepler,K03020.01,CANDIDATE,10.9192653,1.9,5745.0,1.972,1.234,Kepler
Kepler,K03028.02,CANDIDATE,458.16754,2.11,5536.0,0.816,0.895,Kepler
Kepler,K03029.01,CANDIDATE,18.9763286,2.24,5300.0,0.986,0.861,Kepler
Kepler,K03029.02,CANDIDATE,6.34724702,1.35,5300.0,0.986,0.861,Kepler
Kepler,K03031.01,CANDIDATE,7.64809462,1.19,5641.0,0.85,0.944,Kepler
Kepler,K03034.01,CANDIDATE,31.0209175,1.66,3720.0,0.48,0.488,Kepler
Kepler,K03037.01,CANDIDATE,5.4654174,1.23,5612.0,0.829,0.926,Kepler
Kepler,K03040.01,CANDIDATE,4.8099878,1.59,5988.0,0.934,1.021,Kepler
Kepler,K03041.01,CANDIDATE,5.08288076,1.15,6217.0,1.083,1.011,Kepler
Kepler,K03042.01,CANDIDATE,31.0259489,1.91,6075.0,0.969,1.048,Kepler
Kepler,K03043.01,CANDIDATE,3.08942807,1.07,6137.0,1.103,1.165,Kepler
Kepler,K03043.02,CANDIDATE,7.2929891,0.73,5959.0,0.856,0.945,Kepler
Kepler,K03050.01,CANDIDATE,1.242639742,1.02,5520.0,0.818,0.917,Kepler
Kepler,K03051.01,CANDIDATE,11.682369,1.45,6089.0,0.889,0.971,Kepler
Kepler,K03052.01,CANDIDATE,10.12956201,0.78,5383.0,0.842,0.874,Kepler
Kepler,K03053.02,CANDIDATE,9.4767057,1.38,5911.0,0.914,1.006,Kepler
Kepler,K03061.02,CANDIDATE,77.915425,1.17,5135.0,0.874,0.812,Kepler
Kepler,K03065.01,CANDIDATE,0.896382269,1.0,5837.0,0.843,0.824,Kepler
Kepler,K03068.01,CANDIDATE,3.91679553,0.85,4889.0,0.686,0.759,Kepler
Kepler,K03068.02,CANDIDATE,6.65171459,0.84,4889.0,0.686,0.759,Kepler
Kepler,K03069.01,CANDIDATE,43.1024434,1.88,5741.0,1.097,1.017,Kepler
Kepler,K03072.01,CANDIDATE,24.3367026,1.95,5141.0,0.806,0.758,Kepler
Kepler,K03073.01,CANDIDATE,7.40985182,1.18,5462.0,0.836,0.926,Kepler
Kepler,K03077.02,CANDIDATE,7.55842923,1.46,4791.0,0.742,0.759,Kepler
Kepler,K03083.01,CANDIDATE,10.18318233,0.79,5843.0,1.084,1.131,Kepler
