mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K07568.01,FALSE POSITIVE,480.03759,1.14,3622.0,0.43,0.451,Kepler
Kepler,K07569.01,FALSE POSITIVE,0.87985197,,,,,Kepler
Kepler,K07570.01,FALSE POSITIVE,0.592618966,0.86,5926.0,0.887,0.978,Kepler
Kepler,K07571.01,FALSE POSITIVE,0.532854237,1.21,6266.0,1.613,1.108,Kepler
Kepler,K07573.01,FALSE POSITIVE,0.566802672,1.08,5102.0,1.961,0.86,Kepler
Kepler,K07574.01,FALSE POSITIVE,0.566796331,1.5,6319.0,1.032,1.084,Kepler
Kepler,K07575.01,FALSE POSITIVE,0.566785459,0.84,6063.0,1.012,1.117,Kepler
Kepler,K07576.01,FALSE POSITIVE,0.566792936,0.79,6432.0,1.603,0.977,Kepler
Kepler,K07577.01,FALSE POSITIVE,0.5668004,0.88,6215.0,0.872,0.968,Kepler
Kepler,K07578.01,FALSE POSITIVE,0.566793614,21.63,3789.0,27.384,0.969,Kepler
Kepler,K07579.01,FALSE POSITIVE,0.566798676,0.68,5490.0,0.887,0.783,Kepler
Kepler,K07580.01,FALSE POSITIVE,0.5667638,0.75,5766.0,0.94,0.874,Kepler
Kepler,K07581.01,FALSE POSITIVE,38.51077573,18.68,4374.0,0.635,0.621,Kepler
Kepler,K07582.01,FALSE POSITIVE,4.23965309,,,,,Kepler
Kepler,K07583.01,FALSE POSITIVE,0.577910513,1.1,5730.0,0.908,0.96,Kepler
Kepler,K07584.01,FALSE POSITIVE,0.566807725,0.94,5018.0,1.734,0.985,Kepler
Kepler,K07585.01,FALSE POSITIVE,0.566807422,1.13,5616.0,1.547,0.958,Kepler
Kepler,K07586.01,FALSE POSITIVE,1.345078434,12.16,6664.0,1.675,1.415,Kepler
Kepler,K07588.01,FALSE POSITIVE,439.1076969,24.7,5810.0,0.811,0.885,Kepler
Kepler,K07590.01,FALSE POSITIVE,0.594003994,1.55,8596.0,2.968,1.994,Kepler
Kepler,K07594.01,FALSE POSITIVE,2.08802799,1.93,6593.0,1.67,1.335,Kepler
Kepler,K07595.01,FALSE POSITIVE,10.4212788,36.9,6183.0,2.073,1.268,Kepler
Kepler,K07597.01,FALSE POSITIVE,0.778705577,59.33,7846.0,3.066,1.898,Kepler
Kepler,K07598.01,FALSE POSITIVE,4.44709107,0.96,6137.0,1.076,0.96,Kepler
Kepler,K07599.01,FALSE POSITIVE,293.70696,6140.44,6054.0,0.893,0.938,Kepler
Kepler,K07600.01,FALSE POSITIVE,3.9169155,,,,,Kepler
