mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K06032.01,FALSE POSITIVE,1.570919281,59.12,6192.0,1.162,1.04,Kepler
Kepler,K06033.01,CONFIRMED,35.08976902,33.1,5603.0,0.846,0.941,Kepler
Kepler,K06035.01,FALSE POSITIVE,3.6037011,66.94,5633.0,1.547,0.907,Kepler
Kepler,K06036.01,FALSE POSITIVE,3.518356021,64.49,6201.0,0.989,1.058,Kepler
Kepler,K06040.01,CONFIRMED,18.019651402,31.77,5278.0,0.659,0.723,Kepler
Kepler,K06041.01,FALSE POSITIVE,4.032762189,35.22,5960.0,0.962,0.927,Kepler
Kepler,K06042.01,FALSE POSITIVE,2.371589507,88.22,5340.0,0.601,0.685,Kepler
Kepler,K06044.01,FALSE POSITIVE,2.027383251,31.12,5544.0,0.875,0.761,Kepler
Kepler,K06045.01,FALSE POSITIVE,10.73370737,18.7,5971.0,2.003,1.202,Kepler
Kepler,K06046.01,CONFIRMED,9.449438672,60.59,6558.0,1.431,1.096,Kepler
Kepler,K06047.01,CONFIRMED,8.752913958,119.91,7279.0,2.624,1.8,Kepler
Kepler,K06048.01,FALSE POSITIVE,1.985586627,105.22,6651.0,3.219,1.503,Kepler
Kepler,K06050.01,FALSE POSITIVE,2.064900876,38.19,5714.0,0.901,0.939,Kepler
Kepler,K06051.01,FALSE POSITIVE,3.60727417,221.55,7026.0,1.785,1.36,Kepler
Kepler,K06053.01,FALSE POSITIVE,22.05274533,32.56,5510.0,0.741,0.822,Kepler
Kepler,K06055.01,FALSE POSITIVE,4.078355243,16.73,5872.0,0.867,0.83,Kepler
Kepler,K06056.01,CONFIRMED,7.73590441,21.3,5927.0,0.86,0.944,Kepler
Kepler,K06057.01,FALSE POSITIVE,3.530164642,35.71,6208.0,1.344,1.107,Kepler
Kepler,K06058.01,FALSE POSITIVE,6.496031958,32.33,5516.0,0.988,0.825,Kepler
Kepler,K06059.01,CONFIRMED,4.012537983,9.96,4483.0,0.63,0.616,Kepler
Kepler,K06060.01,FALSE POSITIVE,1.594162001,26.11,5388.0,0.885,0.802,Kepler
Kepler,K06061.01,CONFIRMED,10.238939876,22.09,6244.0,1.807,1.152,Kepler
Kepler,K06062.01,CONFIRMED,5.499941387,23.34,6435.0,1.157,1.186,Kepler
Kepler,K06063.01,FALSE POSITIVE,8.667826242,37.51,6712.0,1.538,1.294,Kepler
Kepler,K06064.01,FALSE POSITIVE,265.2996227,33.81,5873.0,0.863,0.954,Kepler
