mission,object_name,disposition,period,planet_radius,star_temp,star_radius,star_mass,discovery_facility
Kepler,K04604.01,FALSE POSITIVE,24.1876477,118.8,6437.0,1.31,1.175,Kepler
Kepler,K04606.01,FALSE POSITIVE,2.44926655,0.76,4840.0,0.749,0.727,Kepler
Kepler,K04607.01,FALSE POSITIVE,3.74788208,0.94,5340.0,0.777,0.871,Kepler
Kepler,K04608.01,FALSE POSITIVE,0.93479255,24.75,6018.0,1.053,0.864,Kepler
Kepler,K04609.01,FALSE POSITIVE,361.43653,1.56,6028.0,0.938,0.802,Kepler
Kepler,K04610.01,FALSE POSITIVE,0.89628253,0.76,5561.0,0.818,0.915,Kepler
Kepler,K04611.01,FALSE POSITIVE,1.67495622,0.77,6323.0,1.263,1.15,Kepler
Kepler,K04612.01,FALSE POSITIVE,4.1083812,1.62,5730.0,0.87,0.968,Kepler
Kepler,K04615.01,FALSE POSITIVE,1.04588635,1.1,6249.0,1.076,1.13,Kepler
Kepler,K04616.01,FALSE POSITIVE,51.31346091,,,,,Kepler
Kepler,K04618.01,FALSE POSITIVE,244.86662,1.46,5821.0,0.848,0.937,Kepler
Kepler,K04619.01,FALSE POSITIVE,62.366706,1.88,6749.0,1.9,1.419,Kepler
Kepler,K04620.01,FALSE POSITIVE,0.933732791,0.9,5496.0,0.927,0.798,Kepler
Kepler,K04621.01,FALSE POSITIVE,53.106597,2.2,7217.0,2.343,1.562,Kepler
Kepler,K04623.01,FALSE POSITIVE,186.55347,1.86,6187.0,1.006,1.026,Kepler
Kepler,K04624.01,FALSE POSITIVE,14.0801852,1.04,5984.0,1.089,1.142,Kepler
Kepler,K04628.01,FALSE POSITIVE,3.08723626,1.2,6418.0,1.171,1.241,Kepler
Kepler,K04629.01,FALSE POSITIVE,0.592562969,25.97,5728.0,0.804,0.896,Kepler
Kepler,K04631.01,FALSE POSITIVE,3.55661906,0.72,6018.0,1.458,0.934,Kepler
Kepler,K04635.01,FALSE POSITIVE,4.99473798,0.82,5406.0,0.819,0.907,Kepler
Kepler,K04638.01,FALSE POSITIVE,368.48518,1.98,6140.0,1.096,0.989,Kepler
Kepler,K04639.01,FALSE POSITIVE,169.894419,2.66,6382.0,1.961,1.222,Kepler
Kepler,K04639.02,FALSE POSITIVE,29.6990126,1.93,6382.0,1.961,1.222,Kepler
Kepler,K04641.01,FALSE POSITIVE,119.72007,1.26,5963.0,1.176,1.056,Kepler
Kepler,K04642.01,FALSE POSITIVE,1.27839331,0.86,7758.0,1.918,1.713,Kepler
Kepler,K04645.01,FALSE POSITIVE,1.4725859,0.93,6077.0,0.999,1.077,Kepler
Kepler,K04646.01,FALSE POSITIVE,2.97607935,1.1,5547.0,0.865,0.932,Kepler
Kepler,K04648.01,FALSE POSITIVE,17.6604653,1.76,5910.0,0.94,1.032,Kepler
Kepler,K04650.01,FALSE POSITIVE,1.69999106,0.55,4289.0,0.554,0.541,Kepler
Kepler,K04652.01,FALSE POSITIVE,4.2059745,0.75,5960.0,1.163,0.964,Kepler
Kepler,K04654.01,FALSE POSITIVE,379.65261,1.2,6471.0,1.302,0.855,Kepler
Kepler,K04658.01,FALSE POSITIVE,1.8789138,1.9,8046.0,3.339,2.06,Kepler
Kepler,K04660.01,FALSE POSITIVE,0.514771509,0.57,5730.0,0.87,0.968,Kepler
Kepler,K04662.01,FALSE POSITIVE,0.933728755,0.72,6652.0,1.863,1.378,Kepler
Kepler,K04664.01,FALSE POSITIVE,0.734573766,0.86,5602.0,1.051,0.851,Kepler
Kepler,K04665.01,FALSE POSITIVE,289.86046,1.5,5914.0,0.971,0.973,Kepler
Kepler,K04668.01,FALSE POSITIVE,15.07277287,1.73,5521.0,0.771,0.864,Kepler
Kepler,K04669.01,FALSE POSITIVE,1.71659304,1.17,6192.0,0.987,1.037,Kepler
Kepler,K04671.01,FALSE POSITIVE,0.75499096,1.39,5743.0,0.946,0.953,Kepler
Kepler,K04672.01,FALSE POSITIVE,353.40191,2.35,4957.0,0.763,0.772,Kepler
Kepler,K04673.01,FALSE POSITIVE,1.428596987,1.62,6745.0,2.144,1.336,Kepler
Kepler,K04675.01,FALSE POSITIVE,2.17812826,0.81,5426.0,0.805,0.903,Kepler
Kepler,K04676.02,FALSE POSITIVE,3.36379289,44.77,5947.0,2.407,1.378,Kepler
Kepler,K04677.01,FALSE POSITIVE,1.33259494,0.89,6063.0,0.918,0.994,Kepler
Kepler,K04678.01,FALSE POSITIVE,2.05048377,0.66,5568.0,0.854,0.752,Kepler
Kepler,K04679.01,FALSE POSITIVE,1.19550618,0.78,6088.0,1.463,1.103,Kepler
Kepler,K04681.01,FALSE POSITIVE,8.2344072,1.49,6148.0,1.741,1.016,Kepler
Kepler,K04682.01,FALSE POSITIVE,2.15052332,1.17,5780.0,1.0,1.0,Kepler
Kepler,K04683.01,FALSE POSITIVE,0.967073359,28.15,5755.0,1.022,0.96,Kepler
Kepler,K04684.01,FALSE POSITIVE,3.5564279,0.8,5404.0,0.694,0.789,Kepler
Kepler,K04687.01,FALSE POSITIVE,419.92898,1.51,6047.0,0.988,0.962,Kepler
Kepler,K04688.01,FALSE POSITIVE,1.23521458,0.93,5999.0,0.959,1.045,Kepler
Kepler,K04689.01,FALSE POSITIVE,1.085229874,1.37,5713.0,0.851,0.948,Kepler
Kepler,K04690.01,FALSE POSITIVE,360.15417,2.99,6065.0,1.061,1.163,Kepler
Kepler,K04692.01,FALSE POSITIVE,1.42856815,0.64,5979.0,0.822,0.888,Kepler
Kepler,K04695.01,FALSE POSITIVE,3.28931936,50.51,6335.0,1.072,1.12,Kepler
Kepler,K04696.01,FALSE POSITIVE,1.08195208,0.47,5233.0,0.824,0.764,Kepler
Kepler,K04697.01,FALSE POSITIVE,0.512583041,1.07,6077.0,0.999,1.077,Kepler
Kepler,K04701.01,FALSE POSITIVE,31.97181,0.95,5632.0,0.853,0.952,Kepler
Kepler,K04702.01,FALSE POSITIVE,5.81289843,0.93,6175.0,1.041,1.013,Kepler
